2147;9,964;11,305;11,052;0,59;0,574;0,598;8,976;10,614;10,295;16,673;17,042;16,714
2177;9,996;11,475;11,028;0,591;0,568;0,595;9,017;10,311;10,237;16,643;16,973;16,663
2207;9,972;11,43;11,034;0,576;0,594;0,599;9,108;10,337;10,204;16,305;17,04;16,876
2237;9,966;11,394;11,056;0,566;0,569;0,594;9,143;10,309;10,279;16,333;16,976;16,658
2267;10,084;11,488;11,023;0,567;0,576;0,618;9,106;10,644;10,273;16,257;16,955;16,31
2297;10,117;11,46;11,104;0,572;0,569;0,618;9,111;10,648;10,288;15,686;16,448;16,363
2327;10,034;11,524;11,027;0,563;0,57;0,59;9,117;10,639;10,229;15,713;16,429;16,353
2357;10,018;11,546;11,029;0,561;0,563;0,573;9,141;10,629;10,261;15,677;16,379;16,34
2387;10,386;11,545;11,055;0,56;0,597;0,571;9,104;10,617;10,264;16,222;16,432;16,356
2417;9,996;11,437;11,103;0,585;0,571;0,571;9,205;10,65;10,235;15,733;16,382;16,295
2447;10,045;11,478;11,015;0,584;0,572;0,569;9,115;10,615;10,268;16,247;16,377;16,377
2477;9,985;11,453;11,063;0,561;0,588;0,576;9,211;10,661;10,256;16,268;16,441;16,357
2507;10,061;11,47;11,067;0,56;0,569;0,573;9,108;10,625;10,196;16,244;16,437;16,681
2537;10,355;11,374;11,036;0,559;0,568;0,542;9,112;10,625;10,232;16,292;16,449;16,711
2567;10,035;11,452;11,075;0,586;0,593;0,542;9,139;10,623;10,247;16,329;16,906;16,69
2597;10,093;11,493;11,08;0,588;0,609;0,568;9,222;10,341;10,289;16,156;16,903;16,672
2627;10,028;11,501;11,067;0,562;0,607;0,503;9,197;10,602;10,259;16,312;16,862;16,687
2657;10,194;11,4;11,089;0,563;0,614;0,529;9,631;10,649;10,257;16,289;16,461;16,693
2687;10,062;11,478;11,064;0,59;0,602;0,529;9,206;10,35;9,96;16,185;16,411;16,742
